21/03/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/03/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/03/2020;Global;health;COVID;By now ten nations have joined the Solidarity trial, a WHO-sponsored group dedicated to finding a cure against COVID-19. Four European countries (Switzerland, France, Norway and Spain), two American countries (Argentina and Canada), three Asian countries (Iran, Thailand, Bahrain) and South Africa are leading efforts to finding a cure.;;;;;;;;;;;;;;;;;;;;;;;
24/03/2020;Japan;culture;COVID;The International Olympic Committee and Japan suspend the 2020 Summer Olympics until 2021;"#olympics
#olympicgames
#olympic
#winterolympics
#roadtotokyo";;;;;;;;;;;;;;;;;;;;;;
24/03/2020;China;health;COVID;"Chinese Premier Li Keqiang reports that the domestically transmitted epidemic was ""basically blocked"" and the domestic outbreak was now controlled.";;;;;;;;;;;;;;;;;;;;;;;
24/03/2020;India;mobility&borders;COVID;India goes into lockdown to contain COVID-19.;;;;;;;;;;;;;;;;;;;;;;;
24/03/2020;Global;mobility&borders;COVID;The total number of people in the world facing some form of pandemic-related movement restriction now exceeds 2.6 billion, a third of the global population;;;;;;;;;;;;;;;;;;;;;;;
24/03/2020;United Kingdom;mobility&borders;COVID;The United Kingdom goes into lockdown to contain COVID-19.;;;;;;;;;;;;;;;;;;;;;;;
25/03/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/03/2020;Global;health;COVID;Global COVID-19 cases reach 500,000, with nearly 23,000 deaths confirmed.[67] The United States surpasses China and Italy in total number of known COVID-19 cases, with at least 81,321 cases and more than 1,000 deaths.;;;;;;;;;;;;;;;;;;;;;;;
26/03/2020;Philippines;violence & war;Philippines conflict;Militants in the Philippines agree to U.N. Secretary-General António Guterres' call for a ceasefire;;;;;;;;;;;;;;;;;;;;;;;
27/03/2020;North Macedonia;politics & economy;NATO;North Macedonia becomes the 30th country to join NATO;;;;;;;;;;;;;;;;;;;;;;;
27/03/2020;Syria;violence & war;Syria civil war;Militants in Syria agree to U.N. Secretary-General António Guterres' call for a ceasefire;;;;;;;;;;;;;;;;;;;;;;;
28/03/2020;China;mobility&borders;COVID;China temporarily suspends entry for foreign nationals with visas or residence permits;;;;;;;;;;;;;;;;;;;;;;;
28/03/2020;Yemen;violence & war;Yemeni civil war;Militants in Yemen agree to U.N. Secretary-General António Guterres' call for a ceasefire;;;;;;;;;;;;;;;;;;;;;;;
29/03/2020;Libya;violence & war;Libyan Civil War;Militants in Libya agree to U.N. Secretary-General António Guterres' call for a ceasefire;;;;;;;;;;;;;;;;;;;;;;;
29/03/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/03/2020;Japan;culture;COVID;The Summer Olympics are rescheduled for July 23 to August 8;;;;;;;;;;;;;;;;;;;;;;;
