date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-17 11:44:18,AlfredOnti,,0,1,6,"Cuando voy por la carretera y veo una bolsa, a veces dudo si contiene los restos de alguien. Lo hago porque mi país está desde hace años agonizando de violencia. Un crimen de horror me hela los huesos. Pido una celda eterna y oscura para el asesino de Fátima. #JusticiaParaFatima",,,#JusticiaParaFatima,1229370988204306432,https://twitter.com/AlfredOnti/status/1229370988204306432
2020-02-17 11:41:43,AbogadoDesignad,,0,1,0,"Tres días en una celda de aislamiento como recompensa.",,,,1229370338657611777,https://twitter.com/AbogadoDesignad/status/1229370338657611777
2020-02-17 11:41:17,Ireth_Isildr,aldanabelotto,0,0,2,"Que no tienes amigos, sólo conocidos, hay un dicho que reza en la cama de un hospital, en la celda de una cárcel y al lado de un féretro conoces a tus amigos",,,,1229370225604354048,https://twitter.com/Ireth_Isildr/status/1229370225604354048
2020-02-17 11:38:09,jcasasf,RunRunesWeb,0,0,0,"Ayyy papito lindo, hueles a celda llena de moho y diarrea.",,,,1229369437444354049,https://twitter.com/jcasasf/status/1229369437444354049
2020-02-17 11:33:30,blackdragon1802,,0,0,0,"General Baduel está desaparecido! #DGCIM lo sacó d su celda en #FuerteTiuna, noche del viernes. Devolvieron sus pertenencias asu hija (Biblia, ropa, zapatos, recipientes de comida) #rppnoticias #rppinforma #TVPeruNoticias #alertanoticias #atvnoticias #ANCentral #AlEstiloJulianapic.twitter.com/oah0ue6ffI",,,#DGCIM #FuerteTiuna #rppnoticias #rppinforma #TVPeruNoticias #alertanoticias #atvnoticias #ANCentral #AlEstiloJulianapic,1229368266931474432,https://twitter.com/blackdragon1802/status/1229368266931474432
2020-02-17 11:19:39,VioricaKav,MundyAsher,1,0,0,"Negó con la cabeza de un modo casi imperceptible. No, no le había destrozado como quería. No lo había conseguido. —Le lancé un Avada. Supe que lo haría en cuanto puse un pie en esa celda. —Habló muy bajito, pero aun así sabía que él le oiría—. No quería que vieses eso. >",,,,1229364781645279233,https://twitter.com/VioricaKav/status/1229364781645279233
2020-02-17 11:06:30,jorgelmeza,Antipolitico5,0,0,0,"10 años aproximadamente duró el juicio a Milosevic por los delitos cometidos en la ex Yugoslavia en los 90 y fue apresado en el 2003 apareciendo muerto en el 2006 en la celda a la que fue confinado por el T.P.I. son procesos largos, pero la justicia llega",,,,1229361472570040323,https://twitter.com/jorgelmeza/status/1229361472570040323
2020-02-17 10:48:44,REYMARRERO,,3,60,43,"#17Feb mi hermano @ROBERTOMARRERO cumple 334 dias de su injusto secuestro judicial su único delito es luchar por la liberacion de nuestro país No descansaremos hasta lograr la libertad de Vzla que es la llave de su celda y la de todos los presos políticos #LibertadParaMarreropic.twitter.com/Ekznv70UIL",,@ROBERTOMARRERO,#17Feb #LibertadParaMarreropic,1229357002687746048,https://twitter.com/REYMARRERO/status/1229357002687746048
2020-02-17 10:45:35,JoseLamigo,,0,0,0,"Película para hoy Celda 211 de Daniel Monzón con Luis Tosar, Alberto Ammann, Antonio Resines, Carlos Bardem, Marta Etura, Vicente Romero, Manuel Morón, Manolo Solo, Fernando Soto, Luis Zahera, Patxi Bisquert, Félix Cubero, Josean Bengoetxea, Juan Carlos Mangas, Jesús Carroza",,,,1229356211469979652,https://twitter.com/JoseLamigo/status/1229356211469979652
2020-02-17 10:44:56,boyacasietedias,,3,2,1,"La excongresista tiene TV satelital y aire acondicionado. Además, su alimentación es a la carta. Los lujos de la celda en la que Aida Merlano cumple su reclusión ►https://bit.ly/3795BdK pic.twitter.com/tySKJW2uhq https://twitter.com/ELTIEMPO/status/1228898972019892224 …",,,,1229356046289981444,https://twitter.com/boyacasietedias/status/1229356046289981444
2020-02-17 10:25:06,DaniKnuckler,RichardWR1965,0,0,2,"Si, sale a dar sus vueltas al patio del penal, pero luego regresa a su celda",,,,1229351054032146433,https://twitter.com/DaniKnuckler/status/1229351054032146433
2020-02-17 10:22:21,LeticiAisha,,1,0,1,"Se pueden hasta deducir edades xD De lo primero que tengo memoria son Fantasía y Yellow submarine, La bella y la bestia, El rey león, Matrix, El bar coyote, Morir (o no), Piratas del Caribe, Los chicos del coro, Celda 211. Ni llego a 2010, pero es que ya no me obsesiono xD",,,,1229350364199059456,https://twitter.com/LeticiAisha/status/1229350364199059456
2020-02-17 10:07:24,Guderian19,ForcadellCarme,0,0,6,"Recuerda que tienes que volver a tu celda a dormir.",,,,1229346600771837954,https://twitter.com/Guderian19/status/1229346600771837954
2020-02-17 09:58:41,LecturaPara,,0,0,2,"El 17 de febrero de 1836 nació el poeta y narrador Gustavo Adolfo Bécquer, perteneciente al movimiento del Romanticismo. Es conocido sobre todo por sus ""Rimas"" y ""Leyendas"", pero también es el autor de obras como ""Cartas desde mi celda"". pic.twitter.com/4bWJRfmuOt",,,,1229344408736321536,https://twitter.com/LecturaPara/status/1229344408736321536
2020-02-17 09:20:51,stxnedme,,0,0,0,"Entre la burbuja y la celda, pero a salvo siempre Entre tu sol y su noche, pero sin brillar nadie",,,,1229334885741060096,https://twitter.com/stxnedme/status/1229334885741060096
2020-02-17 09:15:26,CodinaBros,jaralezo,0,0,2,"Es que Oriol Junqueras es un experto político, lingüista y sobretodo genetista. Si alguien es capaz de identificar el ""Gen Catalán"" y sus orígenes, sin duda ese es nuestro amigo Junqueras, que arrinconado en su misera celda de 50"" está haciendo una labor encomiable. pic.twitter.com/oqxyGbwHhN",,,,1229333523317825537,https://twitter.com/CodinaBros/status/1229333523317825537
